Year,deathCount,Vehicles (m),Vehicle Miles (b),Drivers (m),"Fatalities per 10,000 motor vehicles","Fatalities per 100,000,000 vehicle miles","Vehicles per 100,000 population"
1913,4200,1.3,(a),2,33.38,(a),4.4
1914,4700,1.8,(a),3,26.65,(a),4.8
1915,6600,2.5,(a),3,26.49,(a),6.6
1916,8200,3.6,(a),5,22.66,(a),8.1
1917,10200,5.1,(a),7,19.93,(a),10
1918,10700,6.2,(a),9,17.37,(a),10.3
1919,11200,7.6,(a),12,14.78,(a),10.7
1920,12500,9.2,(a),14,13.53,(a),11.7
1921,13900,10.5,(a),16,13.25,(a),12.9
1922,15300,12.3,(a),19,12.47,(a),13.9
1923,18400,15.1,85,22,12.18,21.65,16.5
1924,19400,17.6,104,26,11.02,18.65,17.1
1925,21900,20.1,122,30,10.89,17.95,19.1
1926,23400,22.2,141,33,10.54,16.59,20.1
1927,25800,23.3,158,34,11.07,16.33,21.8
1928,28000,24.7,173,37,11.34,16.18,23.4
1929,31200,26.7,197,40,11.69,15.84,25.7
1930,32900,26.7,206,40,12.32,15.97,26.7
1931,33700,26.1,216,39,12.91,15.6,27.2
1932,29500,24.4,200,36,12.09,14.75,23.6
1933,31363,24.2,201,35,12.96,15.6,25
1934,36101,25.3,216,37,14.27,16.71,28.6
1935,36369,26.5,229,39,13.72,15.88,28.6
1936,38089,28.5,252,42,13.36,15.11,29.7
1937,39643,30.1,270,44,13.19,14.68,30.8
1938,32582,29.8,271,44,10.93,12.02,25.1
1939,32386,31,285,46,10.44,11.35,24.7
1940,34501,32.5,302,48,10.63,11.42,26.1
1941,39969,34.9,334,52,11.45,11.98,30
1942,28309,33,268,49,8.58,10.55,21.1
1943,23823,30.9,208,46,7.71,11.44,17.8
1944,24282,30.5,213,45,7.97,11.42,18.3
1945,28076,31,250,46,9.05,11.22,21.2
1946,33411,34.4,341,50,9.72,9.8,23.9
1947,32697,37.8,371,53,8.64,8.82,22.8
1948,32259,41.1,398,55,7.85,8.11,22.1
1949,31701,44.7,424,59.3,7.09,7.47,21.3
1950,34763,49.2,458,62.2,7.07,7.59,23
1951,36996,51.9,491,64.4,7.13,7.53,24.1
1952,37794,53.3,514,66.8,7.1,7.36,24.3
1953,37956,56.3,544,69.9,6.74,6.97,24
1954,35586,58.6,562,72.2,6.07,6.33,22.1
1955,38426,62.8,606,74.7,6.12,6.34,23.4
